Exchange Name,Exchange Symbol,Coutry Code
Botswana Stock Exchange,GB,BOT
Ghana Stock Exchange,GH,GHA
Hong Kong Stock Exchange,HK,CHI
Shanghai Stock Exchange,SHA,CHI
Shenzen Stock Exchange,SZ,CHI
National Stock Exchange,IN,IND
Bombay Stock Exchange,BY,IND
Fukuoka Stock Exchange ,FU ,JAP
Hercules Stock Exchange ,HQ,JAP
JASDAQ Securities Exchange ,JA,JAP
Nagoya Stock Exchange ,NY,JAP
Osaka Securities Exchange ,OK,JAP
Sapporo Securities Exchange ,SO,JAP
Tokyo Stock Exchange ,TO,JAP
Berlin Stock Exchange ,BE,GER
Dusseldorf Stock Exchange ,DU,GER
Frankfurt Stock Exchange ,FF,GER
Munich Stock Exchange ,MU,GER
Stuttgart Stock Exchange ,ST,GER
London Stock Exchange ,LN,UK
PLUS Markets Group ,PZ,UK
Berne eXchange ,BN,SWITZ
SIX Swiss Exchange ,EB,SWITZ
Egyptian Stock Exchange ,CI,EGY
Cairo & Alexandria Stock Exchange ,CA,EGY
Tel Aviv Stock Exchange ,TV,ISR
Canada National Stock Exchange,L,CAN
Toronto Stock Exchange ,T,CAN
TSX Venture Exchange ,V,CAN
American Stock Exchange ,A,US
NASDAQ OMX BX ,B,US
Chicago Stock Exchange ,M,US
NASDAQ ,O,US
